--- Starting fine-tuning for model_type: t5 ---
Model configured with LoRA:
trainable params: 294912 || all params: 60801536 || trainable%: 0.49
Starting training...
{'loss': '9.843', 'grad_norm': '0.8208', 'learning_rate': '0.0001896', 'epoch': '0.0525'}
{'loss': '9.52', 'grad_norm': '0.8218', 'learning_rate': '0.0001895', 'epoch': '0.0531'}
{'loss': '10.5', 'grad_norm': '1.382', 'learning_rate': '0.0001894', 'epoch': '0.0537'}
{'loss': '9.419', 'grad_norm': '0.7935', 'learning_rate': '0.0001893', 'epoch': '0.05431'}
{'loss': '9.895', 'grad_norm': '1.103', 'learning_rate': '0.0001891', 'epoch': '0.05491'}
{'loss': '9.552', 'grad_norm': '0.8197', 'learning_rate': '0.000189', 'epoch': '0.05551'}
{'loss': '9.048', 'grad_norm': '1.081', 'learning_rate': '0.0001889', 'epoch': '0.05612'}
{'loss': '9.125', 'grad_norm': '0.9651', 'learning_rate': '0.0001888', 'epoch': '0.05672'}
{'loss': '9.929', 'grad_norm': '0.9727', 'learning_rate': '0.0001887', 'epoch': '0.05732'}
{'loss': '8.087', 'grad_norm': '1.102', 'learning_rate': '0.0001885', 'epoch': '0.05793'}
{'loss': '7.928', 'grad_norm': '1.062', 'learning_rate': '0.0001884', 'epoch': '0.05853'}
{'loss': '9.36', 'grad_norm': '0.7318', 'learning_rate': '0.0001883', 'epoch': '0.05913'}
{'loss': '8.368', 'grad_norm': '0.8749', 'learning_rate': '0.0001882', 'epoch': '0.05974'}
{'loss': '7.753', 'grad_norm': '0.9125', 'learning_rate': '0.0001881', 'epoch': '0.06034'}
{'loss': '9.093', 'grad_norm': '0.7144', 'learning_rate': '0.0001879', 'epoch': '0.06094'}
{'loss': '8.815', 'grad_norm': '1.029', 'learning_rate': '0.0001878', 'epoch': '0.06155'}
{'loss': '10.87', 'grad_norm': '1.354', 'learning_rate': '0.0001877', 'epoch': '0.06215'}
{'loss': '11.78', 'grad_norm': '1.133', 'learning_rate': '0.0001876', 'epoch': '0.06275'}
{'loss': '9.937', 'grad_norm': '0.8908', 'learning_rate': '0.0001875', 'epoch': '0.06336'}
{'loss': '8.731', 'grad_norm': '1.002', 'learning_rate': '0.0001873', 'epoch': '0.06396'}
{'loss': '10.89', 'grad_norm': '0.7644', 'learning_rate': '0.0001872', 'epoch': '0.06456'}
{'loss': '9.938', 'grad_norm': '0.9934', 'learning_rate': '0.0001871', 'epoch': '0.06517'}
{'loss': '9.949', 'grad_norm': '1.328', 'learning_rate': '0.000187', 'epoch': '0.06577'}
{'loss': '9.831', 'grad_norm': '1.242', 'learning_rate': '0.0001869', 'epoch': '0.06638'}
{'loss': '9.213', 'grad_norm': '1.106', 'learning_rate': '0.0001867', 'epoch': '0.06698'}
{'loss': '9.246', 'grad_norm': '1.243', 'learning_rate': '0.0001866', 'epoch': '0.06758'}
{'loss': '9.734', 'grad_norm': '0.7485', 'learning_rate': '0.0001865', 'epoch': '0.06819'}
{'loss': '10.04', 'grad_norm': '1.442', 'learning_rate': '0.0001864', 'epoch': '0.06879'}
{'loss': '11.36', 'grad_norm': '1.214', 'learning_rate': '0.0001862', 'epoch': '0.06939'}
{'loss': '8.779', 'grad_norm': '0.9181', 'learning_rate': '0.0001861', 'epoch': '0.07'}
{'loss': '9.244', 'grad_norm': '1.016', 'learning_rate': '0.000186', 'epoch': '0.0706'}
{'loss': '8.58', 'grad_norm': '0.8724', 'learning_rate': '0.0001859', 'epoch': '0.0712'}
{'loss': '7.591', 'grad_norm': '1.111', 'learning_rate': '0.0001858', 'epoch': '0.07181'}
{'loss': '9.198', 'grad_norm': '0.8475', 'learning_rate': '0.0001856', 'epoch': '0.07241'}
{'loss': '8.792', 'grad_norm': '0.8117', 'learning_rate': '0.0001855', 'epoch': '0.07301'}
{'loss': '9.807', 'grad_norm': '1.13', 'learning_rate': '0.0001854', 'epoch': '0.07362'}
